Name,z,S1p4_FIRST,S1p4_err,S6_FIRST,S6_FIRST_err,S6_FIRST_alpha0,S6_FIRST_alpha0_err,L6_FIRST,L6_FIRST_alpha0,L6_FIRST_uplim,L6_FIRST_lolim,DATE_FIRST,S3_VLASS,S3_quaderr,S3_VLASS_final,S3_quaderr_final,L6_VLASS,L6_VLASS_alpha0,L6_VLASS_uplim,L6_VLASS_lolim,S6_VLASS,S6_VLASS_err,S6_VLASS_alpha0,S6_VLASS_alpha0_err,DATE_VLASS,S(6)_p,pmp,L6_Kell,L6_Kell_alpha0,L6_Kell_uplim,L6_Kell_lolim,DATE_VLAC,S6_Aconfig,S6_Aconfig_err,L6_Aconfig,L6_Aconfig_alpha0,L6_Aconfig_uplim,L6_Aconfig_lolim,DATE_VLAA,CLASS,Alpha
151132.53+100953.1,0.282,1140,130,411.61254353807504,46.9382725087278,1140.0,130.0,22.980470422764803,23.3473650554307,0.0468988696194842,0.05258347755383,2000-01-15,1910.0,400.0,2062.8,462.446667818031,23.469717947491997,23.6049173268289,0.0878466839734564,0.110241244281255,1269.80234792395,284.669315777071,2062.7999999999897,462.446667818029,2019-03-12,3052.0,93.7,23.850566351005,23.775044733376998,0.0131327730613034,0.0135423157618936,2010-12-3,,,0.0,0.0,0.0,0.0,2021-1-21,RI,0.0
151351.50+262358.1,0.203,474,0,171.14416283951599,0.0,473.99999999999903,0.0,22.2842471503339,22.670477461489803,0.0,0.0,1995-11-13,1310.0,292.0,1506.5,356.77263123731905,23.0181331979982,23.1726682558251,0.0923072688489284,0.11737426633318,927.3595293520599,219.619315891096,1506.5,356.77263123731905,2017-10-02,5039.0,151.6,23.7532294173093,23.6970434781715,0.0128732040453031,0.0132664738633519,2010-12-4,,,0.0,0.0,0.0,0.0,2021-1-22,RI,0.0
151936.14+283827.6,0.269,1830,120,660.7464514690171,43.3276361619027,1830.0,120.0,23.140386652101604,23.510379766929102,0.0275835216320886,0.0294549793382756,1993-04-29,721.0,166.0,829.15,202.095878790242,23.028263920773202,23.1665617822717,0.0947291208997449,0.121328078551126,510.401695162469,124.404606066319,829.15,202.095878790242,2017-10-03,576.0,22.2,23.0807742960882,23.0083511606219,0.0164239252720873,0.0170695320136564,2010-12-5,,,0.0,0.0,0.0,0.0,2021-1-23,RI,-0.7
154307.77+193751.7,0.229,1210,120,436.88699796585297,43.3276361619027,1210.0,120.0,22.806054991578897,23.1857849238522,0.0410662706506358,0.0453588723758265,1999-01-15,1260.0,290.0,1360.8,331.580473634984,23.088759175196,23.236793854140302,0.0947037052762645,0.121286283548001,837.670658839881,204.111723844986,1360.80000000001,331.580473634985,2019-03-21,716.0,26.2,23.0205988938641,22.9579125758436,0.0156079277049088,0.0161898322764836,2010-12-15,,,0.0,0.0,0.0,0.0,2021-1-24,RI,-0.7
161217.97+073145.4,0.207,4920,110,1776.4330826380099,39.7169998150776,4920.00000000001,110.0,23.318965336885398,23.7041864981111,0.00960288228856712,0.00982002639352855,2000-02-15,2830.0,585.0,3056.4,677.463916488546,23.3439056784583,23.4974315863549,0.0869482946974095,0.108827417301498,1881.4348924736998,417.02795801382,3056.4,677.4639164885469,2019-03-18,1645.0,66.8,23.285582386697804,23.2283872976297,0.0172871197547269,0.0180038632399176,2010-12-16,,,0.0,0.0,0.0,0.0,2021-1-25,RI,-0.7
162607.24+335915.3,0.205,3110,140,1122.90790386265,50.54890885555321,3110.0,140.0,23.1105374293053,23.4962627467615,0.0191229719520369,0.0200039397096252,1994-06-25,1310.0,288.0,1506.5,352.446464587177,23.0274414296168,23.181471493744002,0.0912977467861051,0.115743180226845,927.3595293520599,216.956247939835,1506.5,352.44646458717796,2017-10-06,1179.0,38.4,23.1317070956673,23.075016162829698,0.0139194923219005,0.0143804378460023,2010-12-18,,,0.0,0.0,0.0,0.0,2021-1-26,RI,-0.7
171013.42+334402.5,0.208,3800,150,1372.0418117935899,54.1595452023785,3800.00000000002,150.000000000001,23.2113640398244,23.596333436118602,0.0168134990096501,0.0174907321603355,1994-06-19,1960.0,405.0,2254.0,499.43804911119906,23.2162296082467,23.3695037512119,0.0869213978227297,0.108785204616535,1387.49975383972,307.440181987569,2253.99999999999,499.43804911119696,2017-12-10,1237.0,41.2,23.1663663931305,23.1089195391309,0.0142291135834163,0.0147111505449894,2010-12-19,,,0.0,0.0,0.0,0.0,2021-1-27,RI,-0.7
083353.88+422401.8,0.249,229570,420,82889.37861406669,151.646726566659,229570.0,420.0,25.1644376867177,25.5392602301496,0.0007938190146371951,0.000795272642873673,1995-12-19,185000.0,37000.0,199800.0,43038.237138619,25.335813289713002,25.478940579815898,0.0847215876023783,0.105355345206217,122991.32689315699,26493.1426067123,199800.00000000102,43038.2371386191,2019-05-24,209000.0,6270.1,25.566085088898898,25.498491382037,0.0128374264492057,0.0132284799569037,2010-11-15,,,0.0,0.0,0.0,0.0,2021-1-28,RL,0.0
084347.84+203752.4,0.227,2870,140,1036.25263153884,50.5489088555531,2870.0000000000095,140.0,23.172767449948,23.5529925063329,0.0206845988598511,0.0217192496932363,1998-10-15,3180.0,650.0,3434.4,753.8518830008979,23.482431682014397,23.6309614850702,0.0861819169499138,0.107627268066132,2114.12118659589,464.050267123051,3434.39999999999,753.851883000897,2019-04-13,5361.0,161.6,23.886547610733103,23.824356416824198,0.012897781338988,0.0132925773835015,2010-11-15,,,0.0,0.0,0.0,0.0,2021-1-29,RL,0.0
085632.99+595746.8,0.283,24790,180,8950.76750377973,64.991454242854,24790.0,180.0,24.3212697721379,24.687927362969198,0.00314201558352636,0.0031649130650189,2002-07-15,56520.0,11320.0,64998.0,14018.0833221093,24.9715884922292,25.106550829731496,0.0848155051922616,0.10550087221175,40010.9622892965,8629.14248390924,64998.000000000095,14018.0833221094,2017-09-25,35614.0,1068.6,24.921030250028,24.845271590565602,0.0128393557754491,0.0132305286342594,2010-11-30,,,0.0,0.0,0.0,0.0,2021-1-30,RL,0.0
092837.98+602521.0,0.295,11500,1900,4152.23179884903,686.0209058967961,11500.0,1900.0,24.027958728512896,24.3917861409146,0.0664069580111959,0.0784266073140432,2002-07-15,7820.0,1650.0,8993.0,2029.3102679482001,24.1528607349018,24.2849928939744,0.088368038440326,0.111065180574659,5535.84085460542,1249.18699966395,8992.99999999999,2029.3102679482001,2017-09-18,8943.0,268.8,24.361160369205397,24.2825715313133,0.012861269551702,0.0132537993477787,2010-10-15,,,0.0,0.0,0.0,0.0,2021-1-31,RL,0.0
